S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,Unnamed: 7,Unnamed: 8,Ms. Zoya Mahboob,3
66,AL-2002,Artificial Intelligence Lab (AI),1.0,BAI-4B,Mr. Ali Hamza,,35+,,,
67,AL-2002,Artificial Intelligence Lab (AI),1.0,BAI-4C,Mr. Ali Hamza,,35+,,,
68,CL-2006,Operating Systems Lab (AI),1.0,BAI-4A,Mr. Hammad Rasheed,,25+,,,
69,CL-2006,Operating Systems Lab (AI),1.0,BAI-4B,Mr. Hammad Rasheed,,20+,,,
70,CL-2006,Operating Systems Lab (AI),1.0,BAI-4C,Mr. Hammad Rasheed,,20+,,,
71,CL-2005,Database Systems Lab (DS),1.0,BDS-4A,Ms. Palwasha Zahid,,20+,,,
72,CL-2005,Database Systems Lab (DS),1.0,BDS-4B,Ms. Palwasha Zahid,,20+,,,
73,CL-2006,Operating Systems Lab (DS),1.0,BDS-4A,Mr. Hammad Rasheed,,20+,,,
74,CL-2006,Operating Systems Lab (DS),1.0,BDS-4B,Ms. Nabeelah Maryam,,20+,,,
75,AL-2002,Artificial Intelligence Lab (DS),1.0,BDS-4A,Ms. Maryam Hussain ,,40+,,,
76,AL-2002,Artificial Intelligence Lab (DS),1.0,BDS-4B,Ms. Maryam Hussain ,,40+,,,
77,EL-2003,Computer Organization and Assembly Language Lab (CY),1.0,BCY-4A,Mr. Faheem Muhammadi,,,,,
78,EL-2003,Computer Organization and Assembly Language Lab (CY),1.0,BCY-4B,Mr. Faheem Muhammadi,,,,,
79,CL-3001,Computer Networks Lab (CY),1.0,BCY-4A,Ms. Syeda Rubab Zainab,,,,,
80,CL-3001,Computer Networks Lab (CY),1.0,BCY-4B,Ms. Syeda Rubab Zainab,,,,,
81,CL-2005,Database Systems Lab (SE),1.0,BSE-4A,Ms. Zoya Mahboob,Ms. Zoya Mahboob,,,,
82,CL-2005,Database Systems Lab (SE),1.0,BSE-4B,Mr. Jawad Wakeel,,,,,
83,CL-2005,Database Systems Lab (SE),1.0,BSE-4C,Mr. Akbar Ali Shah,,,,,
84,CL-2006,Operating Systems Lab (SE),1.0,BSE-4A,Mr. Syed Daniyal Hussain Shah,Mr. Syed Daniyal Hussain Shah,,,,
85,CL-2006,Operating Systems Lab (SE),1.0,BSE-4B,Mr. Syed Daniyal Hussain Shah,,,,,
86,CL-2006,Operating Systems Lab (SE),1.0,BSE-4C,Ms. Hifza Umer,,,,,
